season,season_end_year,player_name,team,games_played,minutes_played,pts,trb,ast,stl,blk,fg_pct,fg3_pct,ft_pct,player_key,last_updated_utc
2025-26,2026,Brandon Ingram,TOR,73,33.8,21.3,5.5,3.6,0.7,0.7,0.471,0.376,0.822,brandon_ingram,2026-04-07T17:04:13Z
2025-26,2026,Brandon Miller,CHA,62,30.3,20.2,5.0,3.4,1.0,0.7,0.434,0.387,0.892,brandon_miller,2026-04-07T17:04:13Z
2025-26,2026,Brandon Williams,DAL,66,22.2,13.0,2.9,3.9,0.9,0.3,0.472,0.232,0.793,brandon_williams,2026-04-07T17:04:13Z
2025-26,2026,Brice Sensabaugh,UTA,73,23.6,14.8,3.1,1.9,0.7,0.2,0.463,0.369,0.827,brice_sensabaugh,2026-04-07T17:04:13Z
2025-26,2026,Brook Lopez,LAC,71,21.4,8.2,3.4,1.3,0.6,1.2,0.423,0.354,0.786,brook_lopez,2026-04-07T17:04:13Z
2025-26,2026,Bruce Brown,DEN,79,24.3,7.7,3.8,2.0,1.0,0.2,0.466,0.385,0.769,bruce_brown,2026-04-07T17:04:13Z
2025-26,2026,Bryce McGowens,NOP,42,21.0,8.1,2.1,1.5,0.6,0.2,0.481,0.409,0.779,bryce_mcgowens,2026-04-07T17:04:13Z
2025-26,2026,Bub Carrington,WAS,78,27.5,10.3,3.4,4.6,0.6,0.2,0.418,0.396,0.721,bub_carrington,2026-04-07T17:04:13Z
2025-26,2026,Buddy Hield,ATL,50,16.0,7.2,2.3,1.4,0.8,0.2,0.424,0.333,0.811,buddy_hield,2026-04-07T17:04:13Z
2025-26,2026,CJ McCollum,ATL,74,29.8,18.7,3.3,3.9,0.8,0.4,0.453,0.371,0.774,cj_mccollum,2026-04-07T17:04:13Z
2025-26,2026,Cade Cunningham,DET,61,34.4,24.5,5.6,9.9,1.5,0.9,0.461,0.346,0.814,cade_cunningham,2026-04-07T17:04:13Z
2025-26,2026,Caleb Love,POR,47,21.5,10.8,2.4,2.6,0.6,0.1,0.389,0.32,0.735,caleb_love,2026-04-07T17:04:13Z
2025-26,2026,Cam Spencer,MEM,72,23.8,11.1,2.5,5.6,0.7,0.2,0.473,0.449,0.94,cam_spencer,2026-04-07T17:04:13Z
2025-26,2026,Cam Thomas,MIL,42,21.0,13.5,1.7,2.6,0.2,0.1,0.41,0.31,0.811,cam_thomas,2026-04-07T17:04:13Z
2025-26,2026,Cam Whitmore,WAS,21,16.9,9.2,2.8,0.7,0.7,0.4,0.456,0.286,0.742,cam_whitmore,2026-04-07T17:04:13Z
2025-26,2026,Cameron Johnson,DEN,53,30.5,12.1,3.8,2.5,0.7,0.4,0.475,0.429,0.839,cameron_johnson,2026-04-07T17:04:13Z
2025-26,2026,Cameron Payne,PHI,22,17.0,7.4,2.0,2.6,1.1,0.3,0.376,0.33,0.864,cameron_payne,2026-04-07T17:04:13Z
2025-26,2026,Caris LeVert,DET,57,19.4,7.4,2.0,2.7,0.8,0.7,0.419,0.33,0.658,caris_levert,2026-04-07T17:04:13Z
2025-26,2026,Cason Wallace,OKC,75,26.7,8.7,3.1,2.6,2.0,0.4,0.436,0.352,0.803,cason_wallace,2026-04-07T17:04:13Z
2025-26,2026,Cedric Coward,MEM,61,25.8,13.4,5.9,2.8,0.6,0.4,0.468,0.336,0.845,cedric_coward,2026-04-07T17:04:13Z
2025-26,2026,Chaney Johnson,BKN,15,20.2,7.9,4.3,2.2,0.9,0.6,0.558,0.308,0.8,chaney_johnson,2026-04-07T17:04:13Z
2025-26,2026,Chet Holmgren,OKC,67,29.0,17.0,8.8,1.6,0.6,1.9,0.553,0.356,0.797,chet_holmgren,2026-04-07T17:04:13Z
2025-26,2026,Christian Braun,DEN,43,31.9,11.9,4.9,2.8,0.7,0.3,0.515,0.305,0.79,christian_braun,2026-04-07T17:04:13Z
2025-26,2026,Coby White,CHA,48,25.4,17.5,3.5,4.1,0.5,0.1,0.444,0.356,0.823,coby_white,2026-04-07T17:04:13Z
2025-26,2026,Cody Williams,UTA,64,23.8,8.5,2.9,1.9,0.8,0.4,0.475,0.22,0.706,cody_williams,2026-04-07T17:04:13Z
2025-26,2026,Cole Anthony,MIL,35,15.0,6.7,2.5,3.5,0.6,0.3,0.424,0.306,0.615,cole_anthony,2026-04-07T17:04:13Z
2025-26,2026,Collin Gillespie,PHX,77,28.8,12.9,4.1,4.8,1.2,0.2,0.42,0.407,0.871,collin_gillespie,2026-04-07T17:04:13Z
2025-26,2026,Collin Murray-Boyles,TOR,54,22.0,8.5,4.9,1.9,0.9,0.9,0.573,0.34,0.641,collin_murrayboyles,2026-04-07T17:04:13Z
2025-26,2026,Collin Sexton,CHI,64,23.3,15.3,2.2,3.3,1.0,0.2,0.487,0.41,0.86,collin_sexton,2026-04-07T17:04:13Z
2025-26,2026,Cooper Flagg,DAL,66,33.9,21.1,6.6,4.6,1.2,0.9,0.473,0.297,0.82,cooper_flagg,2026-04-07T17:04:13Z
2025-26,2026,Corey Kispert,ATL,55,18.8,9.1,2.3,1.6,0.3,0.2,0.464,0.357,0.82,corey_kispert,2026-04-07T17:04:13Z
