season,season_end_year,player_name,team,games_played,minutes_played,pts,trb,ast,stl,blk,fg_pct,fg3_pct,ft_pct,player_key,last_updated_utc,team_name_lookup,team_win_pct,team_conf_rank,team_conference,ridge_pred_vote_share,mvp_score,mvp_rank,mvp_tier
2025-26,2026,Steven Adams,HOU,32,22.8,5.8,8.6,1.5,0.7,0.6,0.504,0.0,0.58,steven_adams,2026-01-24T02:19:06Z,Rockets,0.619,4,West,-0.40295463393978953,0.3948737502658542,155,Outside
2025-26,2026,Brandon Miller,CHA,28,30.0,20.0,4.2,3.4,1.0,1.0,0.42,0.356,0.843,brandon_miller,2026-01-24T02:19:06Z,Hornets,0.378,12,East,-0.14290007067231775,0.3937674077036675,156,Outside
2025-26,2026,Jake LaRavia,LAL,43,27.2,9.5,4.2,2.0,1.3,0.4,0.462,0.345,0.753,jake_laravia,2026-01-24T02:19:06Z,Lakers,0.605,6,West,-0.369740877287178,0.3932920838770094,157,Outside
2025-26,2026,Sam Merrill,CLE,24,25.8,13.8,2.4,2.3,0.7,0.1,0.47,0.455,0.882,sam_merrill,2026-01-24T02:19:06Z,Cavaliers,0.556,6,East,-0.34183914215846006,0.3916538776722991,158,Outside
2025-26,2026,Kelly Oubre Jr.,PHI,21,32.3,14.6,4.5,1.4,1.1,0.8,0.489,0.385,0.745,kelly_oubre,2026-01-24T02:19:06Z,76ers,0.558,5,East,-0.35698811830333066,0.3915526047248715,159,Outside
2025-26,2026,Draymond Green,GSW,38,26.7,8.7,5.8,5.2,0.9,0.7,0.426,0.331,0.694,draymond_green,2026-01-24T02:19:06Z,Warriors,0.543,8,West,-0.30708028456273867,0.39120907970351565,160,Outside
2025-26,2026,Trey Murphy III,NOP,42,35.7,22.0,6.0,3.6,1.5,0.3,0.492,0.383,0.899,trey_murphy,2026-01-24T02:19:06Z,Pelicans,0.217,15,West,-0.006352521972388683,0.39037117648038117,161,Outside
2025-26,2026,Oso Ighodaro,PHX,44,19.9,5.4,4.3,1.8,1.0,0.5,0.618,0.0,0.5,oso_ighodaro,2026-01-24T02:19:06Z,Suns,0.614,5,West,-0.3976502648393549,0.38884601341563035,162,Outside
2025-26,2026,Zion Williamson,NOP,30,28.8,21.9,5.7,3.4,1.1,0.6,0.582,0.0,0.701,zion_williamson,2026-01-24T02:19:06Z,Pelicans,0.217,15,West,-0.009855643686632831,0.3885431200701437,163,Outside
2025-26,2026,Cam Spencer,MEM,41,23.7,11.8,2.7,5.4,0.7,0.0,0.476,0.458,0.927,cam_spencer,2026-01-24T02:19:06Z,Grizzlies,0.429,11,West,-0.2023692472905963,0.3867365881770314,164,Outside
2025-26,2026,Naji Marshall,DAL,45,29.0,14.5,4.7,3.0,1.1,0.1,0.548,0.313,0.792,naji_marshall,2026-01-24T02:19:06Z,Mavericks,0.422,12,West,-0.18445187367438862,0.38662961912171384,165,Outside
