player_key,rank
nikola_jokic,1
shai_gilgeousalexander,2
cade_cunningham,3
victor_wembanyama,4
luka_doncic,5
jaylen_brown,6
donovan_mitchell,7
jalen_duren,8
tyrese_maxey,9
jamal_murray,10
