player_key,rank
nikola_jokic,1
shai_gilgeousalexander,2
luka_doncic,3
cade_cunningham,4
victor_wembanyama,5
jaylen_brown,6
jamal_murray,7
donovan_mitchell,8
jalen_duren,9
tyrese_maxey,10
